        18      4014         0   2000000
       46.000       40.000       54.000       49.000       62.000       47.000       65.000      251.000      597.000      640.000
      635.000      596.000      274.000       69.000       65.000       53.000       45.000       50.000       45.000       52.000
     3735.000       50.000       49.000       50.000       59.000       62.000       69.000       79.000      242.000      579.000
      670.000      663.000      645.000      237.000       59.000       73.000       52.000       56.000       47.000       43.000
       58.000     3842.000       49.000       57.000       53.000       71.000       67.000       67.000       61.000      207.000
      657.000      738.000      746.000      640.000      211.000       77.000       76.000       80.000       62.000       62.000
       59.000       54.000     4094.000       63.000       60.000       57.000       65.000       59.000       82.000       84.000
      187.000      690.000      893.000      901.000      617.000      176.000       92.000       88.000       64.000       66.000
       60.000       65.000       68.000     4437.000       52.000       50.000       75.000       70.000       91.000       86.000
      101.000      159.000      688.000     1036.000     1013.000      649.000      169.000      111.000       66.000       94.000
       67.000       66.000       61.000       70.000     4774.000       88.000       72.000       76.000       89.000       94.000
      107.000      115.000      168.000      772.000     1222.000     1231.000      716.000      153.000      110.000      112.000
      102.000       89.000       78.000       88.000       66.000     5548.000       89.000       86.000       96.000       96.000
       95.000      121.000      114.000      159.000      753.000     1428.000     1447.000      734.000      162.000      129.000
      126.000      102.000       81.000       89.000       87.000       82.000     6076.000       81.000       94.000       95.000
      133.000      117.000      142.000      169.000      174.000      806.000     1759.000     1711.000      813.000      193.000
      154.000      155.000      148.000      140.000      124.000      103.000       88.000     7199.000      120.000      108.000
      147.000      128.000      166.000      189.000      214.000      240.000      848.000     2257.000     2344.000      858.000
      231.000      196.000      191.000      159.000      138.000      146.000      122.000      104.000     8906.000     1093.000
     1238.000     1326.000     1459.000     1588.000     1812.000     1987.000     2438.000     4432.000    17837.000    17928.000
     4396.000     2407.000     2021.000     1760.000     1478.000     1454.000     1327.000     1185.000     1105.000    70271.000
     1120.000     1181.000     1267.000     1392.000     1524.000     1734.000     2055.000     2436.000     4309.000    17739.000
    18048.000     4328.000     2469.000     1997.000     1801.000     1665.000     1416.000     1287.000     1206.000     1139.000
    70113.000       97.000      114.000      126.000      172.000      174.000      176.000      194.000      237.000      813.000
     2245.000     2314.000      888.000      240.000      205.000      160.000      148.000      149.000      145.000      107.000
      110.000     8814.000      106.000       85.000       96.000       84.000      120.000      119.000      167.000      181.000
      731.000     1710.000     1696.000      777.000      181.000      139.000      158.000      138.000       91.000      105.000
       85.000       99.000     6868.000       87.000       84.000       83.000      100.000       97.000      104.000      117.000
      155.000      739.000     1446.000     1396.000      774.000      188.000      109.000      114.000      123.000      104.000
       88.000       96.000       83.000     6087.000       67.000       71.000       66.000       97.000       94.000      105.000
      115.000      175.000      756.000     1163.000     1191.000      706.000      163.000      123.000       96.000       86.000
       86.000       71.000       77.000       71.000     5379.000       73.000       76.000       76.000       70.000       80.000
       91.000      108.000      202.000      672.000     1054.000     1049.000      700.000      194.000      101.000       82.000
       81.000       70.000       49.000       53.000       65.000     4946.000       50.000       60.000       69.000       64.000
       69.000       79.000       98.000      178.000      699.000      926.000      933.000      645.000      189.000       97.000
       80.000       76.000       57.000       60.000       57.000       50.000     4536.000       48.000       52.000       54.000
       51.000       66.000       71.000       72.000      195.000      642.000      775.000      801.000      613.000      227.000
